index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Gauge
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> service.instance.id: Str(18280d0e-94fd-42b6-9819-c9c2e01dcec7)
index-otel-collector-1  |      -> service.name: Str(otelcol)
index-otel-collector-1  |      -> service.version: Str(0.140.1)
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 8076712.000000
index-otel-collector-1  | Metric #10
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: otelcol_process_runtime_total_alloc_bytes
index-otel-collector-1  |      -> Description: Cumulative bytes allocated for heap objects (see 'go doc runtime.MemStats.TotalAlloc') [Alpha]
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Sum
index-otel-collector-1  |      -> IsMonotonic: true
index-otel-collector-1  |      -> AggregationTemporality: Cumulative
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> service.instance.id: Str(18280d0e-94fd-42b6-9819-c9c2e01dcec7)
index-otel-collector-1  |      -> service.name: Str(otelcol)
index-otel-collector-1  |      -> service.version: Str(0.140.1)
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 13779096.000000
index-otel-collector-1  | Metric #11
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: otelcol_process_runtime_total_sys_memory_bytes
index-otel-collector-1  |      -> Description: Total bytes of memory obtained from the OS (see 'go doc runtime.MemStats.Sys') [Alpha]
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Gauge
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> service.instance.id: Str(18280d0e-94fd-42b6-9819-c9c2e01dcec7)
index-otel-collector-1  |      -> service.name: Str(otelcol)
index-otel-collector-1  |      -> service.version: Str(0.140.1)
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 18962696.000000
index-otel-collector-1  | Metric #12
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: promhttp_metric_handler_errors_total
index-otel-collector-1  |      -> Description: Total number of internal errors encountered by the promhttp metric handler.
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Sum
index-otel-collector-1  |      -> IsMonotonic: true
index-otel-collector-1  |      -> AggregationTemporality: Cumulative
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> cause: Str(encoding)
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 0.000000
index-otel-collector-1  | NumberDataPoints #1
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> cause: Str(gathering)
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 0.000000
index-otel-collector-1  | Metric #13
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: up
index-otel-collector-1  |      -> Description: The scraping was successful
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Gauge
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 1.000000
index-otel-collector-1  | Metric #14
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: scrape_duration_seconds
index-otel-collector-1  |      -> Description: Duration of the scrape
index-otel-collector-1  |      -> Unit: s
index-otel-collector-1  |      -> DataType: Gauge
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 0.035417
index-otel-collector-1  | Metric #15
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: scrape_samples_scraped
index-otel-collector-1  |      -> Description: The number of samples the target exposed
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Gauge
index-otel-collector-1  | NumberDataPoints #0
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Value: 41.000000
index-otel-collector-1  | Metric #16
index-otel-collector-1  | Descriptor:
index-otel-collector-1  |      -> Name: otelcol_processor_batch_batch_send_size
index-otel-collector-1  |      -> Description: Number of units in the batch [Development]
index-otel-collector-1  |      -> Unit:
index-otel-collector-1  |      -> DataType: Histogram
index-otel-collector-1  |      -> AggregationTemporality: Cumulative
index-otel-collector-1  | HistogramDataPoints #0
index-otel-collector-1  | Data point attributes:
index-otel-collector-1  |      -> processor: Str(batch)
index-otel-collector-1  |      -> service.instance.id: Str(18280d0e-94fd-42b6-9819-c9c2e01dcec7)
index-otel-collector-1  |      -> service.name: Str(otelcol)
index-otel-collector-1  |      -> service.version: Str(0.140.1)
index-otel-collector-1  | StartTimestamp: 1970-01-01 00:00:00 +0000 UTC
index-otel-collector-1  | Timestamp: 2025-11-29 15:07:51.278 +0000 UTC
index-otel-collector-1  | Count: 1
index-otel-collector-1  | Sum: 1.000000
index-otel-collector-1  | ExplicitBounds #0: 10.000000
index-otel-collector-1  | ExplicitBounds #1: 25.000000
index-otel-collector-1  | ExplicitBounds #2: 50.000000
index-otel-collector-1  | ExplicitBounds #3: 75.000000
index-otel-collector-1  | ExplicitBounds #4: 100.000000
index-otel-collector-1  | ExplicitBounds #5: 250.000000
index-otel-collector-1  | ExplicitBounds #6: 500.000000
index-otel-collector-1  | ExplicitBounds #7: 750.000000
index-otel-collector-1  | ExplicitBounds #8: 1000.000000
index-otel-collector-1  | ExplicitBounds #9: 2000.000000
index-otel-collector-1  | ExplicitBounds #10: 3000.000000
index-otel-collector-1  | ExplicitBounds #11: 4000.000000
index-otel-collector-1  | ExplicitBounds #12: 5000.000000
index-otel-collector-1  | ExplicitBounds #13: 6000.000000
index-otel-collector-1  | ExplicitBounds #14: 7000.000000
index-otel-collector-1  | ExplicitBounds #15: 8000.000000
index-otel-collector-1  | ExplicitBounds #16: 9000.000000
index-otel-collector-1  | ExplicitBounds #17: 10000.000000
index-otel-collector-1  | ExplicitBounds #18: 20000.000000
index-otel-collector-1  | ExplicitBounds #19: 30000.000000
index-otel-collector-1  | ExplicitBounds #20: 50000.000000
index-otel-collector-1  | ExplicitBounds #21: 100000.000000
index-otel-collector-1  | Buckets #0, Count: 1
index-otel-collector-1  | Buckets #1, Count: 0
index-otel-collector-1  | Buckets #2, Count: 0
index-otel-collector-1  | Buckets #3, Count: 0
index-otel-collector-1  | Buckets #4, Count: 0
index-otel-collector-1  | Buckets #5, Count: 0
index-otel-collector-1  | Buckets #6, Count: 0
index-otel-collector-1  | Buckets #7, Count: 0
index-otel-collector-1  | Buckets #8, Count: 0
index-otel-collector-1  | Buckets #9, Count: 0
index-otel-collector-1  | Buckets #10, Count: 0
index-otel-collector-1  | Buckets #11, Count: 0
index-otel-collector-1  | Buckets #12, Count: 0
